Rank,Country/Territory,Capital,Population,Year,% ofcountry'spopulation
1,China,Beijing,"21,542,000[1]",2010,1.5%
2,India,New Delhi,"14,200,004",2011,1.05%
3,Japan,Tokyo,"13,929,286[2]",2017,11.03%
4,Democratic Republic of the Congo,Kinshasa,"12,691,000[3]",2017,14.9%
5,Russia,Moscow,"12,506,468[4]",2011,8.52%
6,Indonesia,Jakarta,"10,075,310[5]",2011,3.76%
7,South Korea,Seoul,"9,838,892[6]",2015,19.03%
8,Egypt,Cairo,"9,500,000",2012,9.54%
9,Mexico,Mexico City,"8,918,653[7]",2015,7.05%
10,United Kingdom,London,"8,908,081[8]",2015,13.19%
11,Bangladesh,Dhaka,"8,906,039[9]",2011,5.52%
12,Peru,Lima,"8,852,000[10]",2012,26.74%
13,Iran,Tehran,"8,693,706",2014,10.53%
14,Thailand,Bangkok,"8,305,218[11]",2010,11.96%
15,Vietnam,Hanoi,"7,781,631[12]",2014,8.14%
16,Saudi Arabia,Riyadh,"7,676,654[13]",2009,22.43%
17,Hong Kong,Hong Kong,"7,482,500[14]",2018,100%
18,Colombia,Bogotá,"7,181,469[15]",2011,14.88%
19,Iraq,Baghdad,"6,719,500[16]",,17.48%
20,Chile,Santiago,"6,310,000[17]",2012,35.9%
21,Singapore,Singapore,"5,638,700[18]",2015,100%
22,Turkey,Ankara,"5,445,026",2014,6.64%
23,Germany,Berlin,"3,748,148[19]",2012,4.51%
24,Syria,Damascus,"3,500,000",,15.32%
25,Algeria,Algiers,"3,415,811",,8.45%
26,Spain,Madrid,"3,266,126[20]",2019,6.95%
27,North Korea,Pyongyang,"3,144,005",,12.63%
28,Afghanistan,Kabul,"3,140,853",,10.28%
29,Kenya,Nairobi,"3,138,369",2010,7.67%
30,Ethiopia,Addis Ababa,"3,040,740[21]",2012,3.31%
31,Argentina,Buenos Aires,"2,891,082[22]",2010,7.16%
32,Italy,Rome,"2,873,104[23]",2017,4.72%
33,Ukraine,Kyiv,"2,847,200[24]",2013,6.26%
34,Cameroon,Yaoundé,"2,765,568[25]",2015,11.65%
35,Taiwan,Taipei,"2,668,572[26]",2018,11.31%
36,Brazil,Brasília,"2,648,532[27]",2012,1.33%
37,Jordan,Amman,"2,600,603",,40.26%
38,Angola,Luanda,"2,453,779",,11.43%
39,Guatemala,Guatemala City,"2,450,212",2008,11.11%
40,South Africa,Pretoria,"2,345,908",,4.43%
41,France,Paris,"2,241,346[28]",2014,3.38%
42,Uzbekistan,Tashkent,"2,207,850",,7.30%
43,Azerbaijan,Baku,"2,204,200[29]",2015,22.96%
44,Cuba,Havana,"2,135,498[30]",2010,18.93%
45,Cambodia,Phnom Penh,"2,011,725",,13.29%
46,Pakistan,Islamabad,"2,001,579",,1%
47,Romania,Bucharest,"1,942,254[31]",,9.73%
48,Sudan,Khartoum,"1,840,661",,4.59%
49,Venezuela,Caracas,"1,838,939",,6.05%
50,Republic of the Congo,Brazzaville,"1,827,000",2014,39.19%
51,Morocco,Rabat,"1,789,635",,5.42%
52,Philippines,Manila,"1,780,148[32]",2015,1.64%
53,Austria,Vienna,"1,749,673[33]",2013,20.65%
54,Hungary,Budapest,"1,729,040[34]",2011,17.34%
55,Poland,Warsaw,"1,711,324[35]",2012,4.42%
56,Belarus,Minsk,"1,702,061",,17.98%
57,Uganda,Kampala,"1,659,600",,4.42%
58,Ghana,Accra,"1,640,507",,6.33%
59,Madagascar,Antananarivo,"1,613,375[36]",[unreliable source?],7.04%
60,Lebanon,Beirut,"1,574,387",,35.25%
61,Ecuador,Quito (de jure)  Guayaquil (de facto) seat-of-government,"1,504,991",,9.65%
